classes	adjective|adverb|auxiliary|conjunction|determiner|expletive|interjection|modal|negation|noun|numeral|ordinal|particle|possessive|preposition|pronoun|quantifier|subordinator|verb
closed	himself	pronoun
closed	i	pronoun
closed	ich	pronoun
closed	it	expletive|pronoun
closed	itself	pronoun
closed	me	pronoun
closed	mine	pronoun
closed	myself	pronoun
closed	nobody	pronoun
closed	none	negation|pronoun
closed	nothing	negation|pronoun
closed	one	numeral|pronoun
closed	ones	pronoun
closed	oneself	pronoun
closed	other	pronoun
closed	others	pronoun
closed	ours	pronoun
closed	ourselves	pronoun
closed	she	pronoun
closed	somebody	pronoun
closed	someone	pronoun
closed	something	pronoun
closed	thee	pronoun
closed	theirs	pronoun
closed	them	pronoun
closed	themselves	pronoun
closed	they	pronoun
closed	thine	pronoun
closed	thou	pronoun
closed	thy	pronoun
closed	us	pronoun
closed	usself	pronoun
closed	we	pronoun
closed	what	pronoun
closed	whatever	pronoun
closed	which	pronoun
closed	whichever	pronoun
closed	who	pronoun
closed	whoever	pronoun
closed	whom	pronoun
closed	whomever	pronoun
closed	ye	pronoun
closed	you	pronoun
closed	yours	pronoun
closed	yourself	pronoun
closed	yourselves	pronoun
closed	albe	conjunction
closed	albee	conjunction
closed	albeit	conjunction
closed	altho	conjunction
closed	although	conjunction
closed	and	conjunction
closed	because	conjunction
closed	gif	conjunction
closed	if	conjunction
closed	lest	conjunction
closed	nor	conjunction|negation
closed	once	conjunction
closed	or	conjunction
closed	provided	conjunction
closed	providing	conjunction
closed	sith	conjunction
closed	sithen	conjunction
closed	sithens	conjunction
closed	so	conjunction
closed	though	conjunction
closed	unless	conjunction
closed	when	conjunction
closed	whenever	conjunction
closed	where	conjunction
closed	whereas	conjunction
closed	wherever	conjunction
closed	whether	conjunction
closed	while	conjunction
closed	whilst	conjunction
closed	yet	adverb|conjunction
closed	am	auxiliary
closed	are	auxiliary
closed	be	auxiliary
closed	been	auxiliary
closed	being	auxiliary
closed	did	auxiliary
closed	do	auxiliary
closed	does	auxiliary
closed	doing	auxiliary
closed	done	auxiliary
closed	had	auxiliary
closed	has	auxiliary
closed	have	auxiliary
closed	having	auxiliary
closed	is	auxiliary
closed	was	auxiliary
closed	were	auxiliary
closed	can	modal
closed	canst	modal
closed	could	modal
closed	couldst	modal
closed	dare	modal
closed	may	modal
closed	mayst	modal
closed	might	modal
closed	mightst	modal
closed	must	modal
closed	need	modal
closed	ought	modal
closed	shall	modal
closed	shalt	modal
closed	should	modal
closed	shouldst	modal
closed	used	modal
closed	will	modal
closed	wilt	modal
closed	would	modal
closed	wouldst	modal
closed	not	negation
closed	never	negation
closed	nowhere	negation
closed	billion	numeral
closed	eight	numeral
closed	eighteen	numeral
closed	eighteenth	numeral
closed	eighth	numeral
closed	eightieth	numeral
closed	eighty	numeral
closed	eleven	numeral
closed	eleventh	numeral
closed	fifteen	numeral
closed	fifteenth	numeral
closed	fifth	numeral
closed	fiftieth	numeral
closed	fifty	numeral
closed	first	numeral
closed	five	numeral
closed	fortieth	numeral
closed	forty	numeral
closed	four	numeral
closed	fourteen	numeral
closed	fourteenth	numeral
closed	fourth	numeral
closed	hundred	numeral
closed	hundredth	numeral
closed	million	numeral
closed	millionth	numeral
closed	nine	numeral
closed	nineteen	numeral
closed	nineteenth	numeral
closed	ninetieth	numeral
closed	ninety	numeral
closed	ninth	numeral
closed	second	numeral
closed	seven	numeral
closed	seventeen	numeral
closed	seventeenth	numeral
closed	seventh	numeral
closed	seventieth	numeral
closed	seventy	numeral
closed	six	numeral
closed	sixteen	numeral
closed	sixteenth	numeral
closed	sixth	numeral
closed	sixtieth	numeral
closed	sixty	numeral
closed	ten	numeral
closed	tenth	numeral
closed	third	numeral
closed	thirteen	numeral
closed	thirteenth	numeral
closed	thirtieth	numeral
closed	thirty	numeral
closed	thousand	numeral
closed	thousandth	numeral
closed	three	numeral
closed	trillion	numeral
closed	twelfth	numeral
closed	twelve	numeral
closed	twentieth	numeral
closed	twenty	numeral
closed	two	numeral
closed	zero	numeral
closed	ah	interjection
closed	aha	interjection
closed	alas	interjection
closed	alright	interjection
closed	aye	interjection
closed	bah	interjection
closed	bravo	interjection
closed	eh	interjection
closed	gosh	interjection
closed	ha	interjection
closed	hah	interjection
closed	hello	interjection
closed	hey	interjection
closed	hi	interjection
closed	hmm	interjection
closed	ho	interjection
closed	hooray	interjection
closed	huh	interjection
closed	hurrah	interjection
closed	oh	interjection
closed	oho	interjection
closed	ok	interjection
closed	okay	interjection
closed	ouch	interjection
closed	ow	interjection
closed	phew	interjection
closed	pooh	interjection
closed	shh	interjection
closed	tut	interjection
closed	ugh	interjection
closed	well	interjection
closed	whoa	interjection
closed	wow	interjection
closed	yes	interjection
closed	yeah	interjection
closed	yep	interjection
closed	nope	interjection
closed	yikes	interjection
closed	yuck	interjection
closed	there	adverb|expletive
closed	here	adverb
closed	now	adverb
closed	then	adverb
closed	today	adverb
closed	tomorrow	adverb
closed	yesterday	adverb
closed	tonight	adverb
closed	hence	adverb
closed	thence	adverb
closed	hither	adverb
closed	thither	adverb
closed	whence	adverb
closed	whither	adverb
closed	ago	adverb
closed	soon	adverb
closed	later	adverb
closed	already	adverb
closed	still	adverb
